id,name,description,date,award_link
0,Best Demo Paper award at SEKE 2019,,2019-06-28,http://ksiresearchorg.ipage.com/seke/seke19awardlet.html
1,Best paper award at SemStats@ISWC2018,,2018-10-08,http://ebooks.iospress.nl/volumearticle/50538
