"Dataset","Number of the triple","Time"
"result","186","1.777151107788086"
"result","187","1.7771995067596436"
"result","188","1.7772161960601807"
"result","189","1.7772269248962402"
"result","190","1.7772409915924072"
"result","191","1.7772490978240967"
"result","192","1.7772574424743652"
"result","193","1.7772650718688965"
"result","194","1.777273178100586"
"result","195","1.7772886753082275"
"result","196","1.7772998809814453"
"result","197","1.777310848236084"
"result","198","1.7773244380950928"
"result","199","1.7773585319519043"
"result","200","1.7773768901824951"
"result","201","1.777388572692871"
"result","202","1.7774043083190918"
"result","203","1.7774200439453125"
"result","204","1.7774558067321777"
"result","205","1.777472734451294"
"result","206","1.7774839401245117"
"result","207","1.7775108814239502"
"result","208","1.7778549194335938"
"result","209","1.777869701385498"
"result","210","1.7778749465942383"
"result","211","1.7780025005340576"
"result","212","1.7780179977416992"
"result","213","1.7780287265777588"
"result","214","1.7780766487121582"
"result","215","1.7781920433044434"
"result","216","1.778203010559082"
"result","217","1.778207540512085"
"result","218","1.7782139778137207"
"result","219","1.7782230377197266"
"result","220","1.778228521347046"
"result","221","1.778230905532837"
"result","222","1.7782394886016846"
"result","223","1.7782490253448486"
"result","224","1.778257131576538"
"result","225","1.7782847881317139"
"result","226","1.7783327102661133"
"result","227","1.7783374786376953"
"result","228","1.7783429622650146"
"result","229","1.7783517837524414"
"result","230","1.7783572673797607"
"result","231","1.77836012840271"
"result","232","1.7783622741699219"
"result","233","1.7783710956573486"
"result","234","1.7783801555633545"
"result","235","1.7783887386322021"
"result","236","1.778393268585205"
"result","237","1.7784192562103271"
"result","238","1.778428077697754"
"result","239","1.7784321308135986"
"result","240","1.7784419059753418"
"result","241","1.778446912765503"
"result","242","1.778449535369873"
"result","243","1.7784521579742432"
"result","244","1.7784600257873535"
"result","245","1.7784690856933594"
"result","246","1.7785255908966064"
"result","247","1.7785675525665283"
"result","248","1.7785730361938477"
"result","249","1.7785849571228027"
"result","250","1.778594970703125"
"result","251","1.7786104679107666"
"result","252","1.7786226272583008"
"result","253","1.7786507606506348"
"result","254","1.7786595821380615"
"result","255","1.7786633968353271"
"result","256","1.7786731719970703"
"result","257","1.7786781787872314"
"result","258","1.7786870002746582"
"result","259","1.778695821762085"
"result","260","1.7787039279937744"
"result","261","1.7787292003631592"
"result","262","1.7787377834320068"
"result","263","1.7787418365478516"
"result","264","1.7787511348724365"
"result","265","1.7787606716156006"
"result","266","1.7787690162658691"
"result","267","1.7787773609161377"
"result","268","1.779219627380371"
"result","269","1.7792301177978516"
"result","270","1.779235601425171"
"result","271","1.7796623706817627"
"result","272","1.7796766757965088"
"result","273","1.7796943187713623"
"result","274","1.7797040939331055"
"result","275","1.7799513339996338"
"result","276","1.779958963394165"
"result","277","1.7799973487854004"
"result","278","1.7800076007843018"
"result","279","1.7800216674804688"
"result","280","1.7800307273864746"
"result","281","1.7800378799438477"
"result","282","1.780043601989746"
"result","283","1.7800464630126953"
"result","284","1.7804310321807861"
"result","285","1.780447006225586"
"result","286","1.7804551124572754"
"result","287","1.7804663181304932"
"result","288","1.7804760932922363"
"result","289","1.7804853916168213"
"result","290","1.780494213104248"
"result","291","1.780500888824463"
"result","292","1.7805132865905762"
"result","293","1.7805426120758057"
"result","294","1.7805519104003906"
"result","295","1.78056001663208"
"result","296","1.7805743217468262"
"result","297","1.7805864810943604"
"result","298","1.7805955410003662"
"result","299","1.7806034088134766"
"result","300","1.780611515045166"
"result","301","1.7806203365325928"
"result","302","1.7806482315063477"
"result","303","1.7806568145751953"
"result","304","1.780667781829834"
"result","305","1.7806758880615234"
"result","306","1.7806849479675293"
"result","307","1.7806928157806396"
"result","308","1.7807023525238037"
"result","309","1.7807588577270508"
