"Dataset","Number of the triple","Time"
"result","165","3.0300285816192627"
"result","166","3.030039072036743"
"result","167","3.0300493240356445"
"result","168","3.0300827026367188"
"result","169","3.030099630355835"
"result","170","3.030113697052002"
"result","171","3.0301246643066406"
"result","172","3.030151128768921"
"result","173","3.03017258644104"
"result","174","3.030184030532837"
"result","175","3.0301947593688965"
"result","176","3.030224561691284"
"result","177","3.0302376747131348"
"result","178","3.030247211456299"
"result","179","3.0302581787109375"
"result","180","3.03112530708313"
"result","181","3.0317704677581787"
"result","182","3.0318262577056885"
"result","183","3.0319466590881348"
"result","184","3.031999111175537"
"result","185","3.0332846641540527"
"result","186","3.0333216190338135"
"result","187","3.0333340167999268"
"result","188","3.033369302749634"
"result","189","3.0333826541900635"
"result","190","3.0333945751190186"
"result","191","3.03341007232666"
"result","192","3.033440351486206"
"result","193","3.0344040393829346"
"result","194","3.0344276428222656"
"result","195","3.0344350337982178"
"result","196","3.035309076309204"
"result","197","3.035435438156128"
"result","198","3.035473346710205"
"result","199","3.035487413406372"
"result","200","3.0355384349823"
"result","201","3.0355639457702637"
"result","202","3.035588264465332"
"result","203","3.035645008087158"
"result","204","3.0356640815734863"
"result","205","3.0356693267822266"
"result","206","3.035867691040039"
"result","207","3.035918712615967"
"result","208","3.0359346866607666"
"result","209","3.0359413623809814"
"result","210","3.035966396331787"
"result","211","3.0359787940979004"
"result","212","3.035989761352539"
"result","213","3.0360145568847656"
"result","214","3.0360267162323"
"result","215","3.036031484603882"
"result","216","3.0360357761383057"
"result","217","3.0360398292541504"
"result","218","3.036050319671631"
"result","219","3.0360665321350098"
"result","220","3.036121129989624"
"result","221","3.0361363887786865"
"result","222","3.0361475944519043"
"result","223","3.0361573696136475"
"result","224","3.0361669063568115"
"result","225","3.03617787361145"
"result","226","3.0361886024475098"
"result","227","3.0361990928649902"
"result","228","3.036318302154541"
"result","229","3.0363407135009766"
"result","230","3.0363481044769287"
"result","231","3.03656005859375"
"result","232","3.037130832672119"
"result","233","3.0371475219726562"
"result","234","3.0371649265289307"
"result","235","3.037180185317993"
"result","236","3.0372281074523926"
"result","237","3.037235975265503"
"result","238","3.037248134613037"
"result","239","3.0372602939605713"
"result","240","3.037299156188965"
"result","241","3.0373055934906006"
"result","242","3.0373165607452393"
"result","243","3.037327766418457"
"result","244","3.0373640060424805"
"result","245","3.0373706817626953"
"result","246","3.0373809337615967"
"result","247","3.0373916625976562"
"result","248","3.037425994873047"
"result","249","3.0374321937561035"
"result","250","3.037442207336426"
"result","251","3.0374529361724854"
"result","252","3.0374865531921387"
"result","253","3.037492513656616"
"result","254","3.037503480911255"
"result","255","3.0375137329101562"
